trade_date,open,close,high,low,vol,amount,pct_chg,turnover
2026-01-08,120.0,131.5,135.0,116.1,17518159.0,2229091549.6,9.58,8.12
2026-01-09,137.2,158.6,165.0,137.2,6908145.0,1044524765.0,20.61,3.2
2026-01-12,182.3,208.4,258.0,165.1,9421009.0,1961613289.6,31.4,4.37
2026-01-13,220.4,181.8,225.2,176.0,4117444.0,802460283.7,-12.76,1.91
2026-01-14,194.7,216.0,222.6,189.0,5821301.0,1204465753.1,18.81,2.7
2026-01-15,212.0,241.0,243.0,206.0,3436595.0,778536245.0,11.57,1.59
2026-01-16,233.8,250.0,263.0,228.0,4242273.0,1045004794.9,3.73,1.97
2026-01-19,245.0,224.0,250.0,220.2,2363775.0,544036361.4,-10.4,1.1
2026-01-20,232.0,207.4,232.2,197.5,2642614.0,551035837.5,-7.41,1.23
2026-01-21,208.0,204.0,217.0,200.0,1707360.0,355601344.0,-1.64,0.79
2026-01-22,209.6,202.6,209.6,196.1,1208921.0,243544528.9,-0.69,0.56
2026-01-23,205.0,192.0,205.0,190.7,1317505.0,255874379.1,-5.23,0.61
2026-01-26,192.0,217.0,224.2,185.0,3131935.0,649593298.9,13.02,1.45
2026-01-27,223.0,233.4,244.6,214.0,3321494.0,755432151.5,7.56,1.54
2026-01-28,233.2,228.0,233.2,221.0,1284174.0,290097410.9,-2.31,0.6
2026-01-29,230.6,227.0,252.0,224.0,2974195.0,714333331.6,-0.44,1.38
2026-01-30,228.0,226.2,234.8,216.6,1156013.0,262045593.8,-0.35,0.54
2026-02-02,226.2,224.6,246.6,219.0,1791910.0,415170249.0,-0.71,0.83
2026-02-03,230.0,243.2,253.0,229.8,2544481.0,615961278.7,8.28,1.18
2026-02-04,235.0,227.2,237.0,222.2,1116794.0,254093542.4,-6.58,0.52
2026-02-05,222.6,216.2,231.0,210.6,938707.0,205553131.4,-4.84,0.44
2026-02-06,207.0,203.2,208.6,198.0,1177111.0,238538199.2,-6.01,0.55
2026-02-09,214.0,276.8,287.8,214.0,4530724.0,1156264678.7,36.22,2.05
2026-02-10,278.0,317.8,344.0,277.4,3427046.0,1084580181.28,14.81,1.55
2026-02-11,333.0,312.4,354.0,306.8,3120272.0,1027235099.7,-1.7,1.41
2026-02-12,339.8,402.0,443.0,318.8,6813071.0,2647569588.0,28.68,3.08
2026-02-13,422.0,485.0,496.0,408.0,5238296.0,2440624380.8,20.65,2.37
2026-02-16,522.0,508.0,540.0,460.0,3656614.0,1797178082.3,4.74,1.65
2026-02-20,534.0,725.0,725.0,532.5,5266887.0,3241357670.4,42.72,2.38
2026-02-23,625.0,560.0,672.5,540.0,5397566.0,3169664874.2,-22.76,2.44
2026-02-24,575.5,628.0,698.0,525.0,5089620.0,3155070873.7,12.14,2.3
2026-02-25,591.0,560.5,666.0,555.5,2819983.0,1676907101.8,-10.75,1.27
2026-02-26,580.5,556.5,600.0,553.0,1858203.0,1071155071.5,-0.71,0.84
2026-02-27,540.0,575.0,592.0,482.0,3914912.0,2105830806.4,3.32,1.77
2026-03-02,550.5,550.0,610.0,544.0,1719691.0,982361996.5,-4.35,0.78
2026-03-03,568.0,528.0,625.0,526.5,4402599.0,2531679796.5,-4.0,1.99
2026-03-04,534.0,510.0,578.0,500.0,2355798.0,1265909013.0,-3.41,1.06
2026-03-05,526.0,520.0,551.5,497.0,2023341.0,1045633812.9,1.96,0.91
2026-03-06,509.0,532.0,553.5,505.0,1380878.0,743317672.5,2.31,0.62
2026-03-09,513.0,575.0,583.0,481.2,4377154.0,2317754255.0,8.08,1.98
2026-03-10,648.0,649.0,697.0,587.0,7467565.0,4783106337.5,12.87,3.37
