trade_date,open,close,high,low,vol,amount,pct_chg,turnover
20250303,96.99,96.0,98.1,95.18,49878742.0,4809640829.0,-1.0207,
20250304,95.0,97.28,99.07,94.61,44469412.0,4312940039.0,1.3333,
20250305,97.3,97.57,98.2,96.16,35097289.0,3415317193.0,0.2981,
20250306,98.85,98.66,100.3,98.37,56756728.0,5625159312.0,1.1171,
20250307,97.6,96.88,98.55,96.52,39398650.0,3834145289.0,-1.8042,
20250310,96.39,95.66,97.29,95.01,38451869.0,3690866732.0,-1.2593,
20250311,94.0,96.12,96.32,93.8,30626303.0,2922157657.0,0.4809,
20250312,96.5,95.9,97.05,95.71,28639010.0,2755645542.0,-0.2289,
20250313,95.39,92.98,96.08,92.1,44201076.0,4142524843.0,-3.0448,
20250314,92.98,94.81,95.61,92.5,40137622.0,3785245339.0,1.9682,
20250317,94.89,93.37,94.91,93.16,31205181.0,2927462047.0,-1.5188,
20250318,93.99,94.1,95.8,93.9,29866634.0,2825383576.0,0.7818,
20250319,93.9,93.75,94.57,93.5,23319047.0,2190591275.0,-0.3719,
20250320,93.8,93.27,94.29,93.0,27204001.0,2544118174.0,-0.512,
20250321,92.98,91.2,92.98,90.9,36539914.0,3350466514.0,-2.2194,
20250324,91.5,91.45,91.68,89.81,29654478.0,2697964408.0,0.2741,
20250325,91.45,89.87,91.45,89.25,28338161.0,2555818741.0,-1.7277,
20250326,90.2,90.0,91.2,89.82,19490835.0,1760802034.0,0.1447,
20250327,90.0,92.47,93.78,89.37,45729726.0,4201342360.0,2.7444,
20250328,91.54,90.4,92.48,90.35,27440878.0,2499223699.0,-2.2386,
20250331,90.39,89.33,91.7,88.36,26820455.0,2408387457.0,-1.1836,
20250401,89.5,86.5,89.75,86.19,41191328.0,3603417373.0,-3.168,
20250402,86.38,86.85,87.45,85.72,24056690.0,2085073511.0,0.4046,
20250403,85.97,88.09,89.2,85.9,30277366.0,2656233319.0,1.4277,
20250407,84.5,84.0,86.88,77.8,85368449.0,7076475299.0,-4.643,
20250408,84.0,85.0,85.88,83.0,53816947.0,4554348835.0,1.1905,
20250409,84.03,90.18,91.58,83.17,74601350.0,6588045218.0,6.0941,
20250410,92.02,90.95,92.18,89.82,52228661.0,4751937673.0,0.8538,
20250411,90.86,92.9,95.48,90.2,71343411.0,6624949145.0,2.144,
20250414,93.5,92.0,93.54,91.69,37611854.0,3475711428.0,-0.9688,
20250415,91.8,90.39,91.8,89.68,27852312.0,2524069354.0,-1.75,
20250416,91.0,92.0,92.0,89.87,27925129.0,2549285026.0,1.7812,
20250417,91.3,91.8,92.38,91.0,22896965.0,2100262276.0,-0.2174,
20250418,91.49,91.35,91.88,90.53,13848004.0,1263676525.0,-0.4902,
20250421,91.34,90.51,91.75,90.13,23221503.0,2108435067.0,-0.9195,
20250422,90.5,90.01,90.88,89.75,21750489.0,1962184114.0,-0.5524,
20250423,90.15,90.07,90.72,89.85,21184822.0,1911153409.0,0.0667,
20250424,90.15,89.1,90.2,88.5,20881488.0,1864020829.0,-1.0769,
20250425,89.1,88.42,89.55,88.03,23006791.0,2039935469.0,-0.7632,
20250428,88.42,88.23,89.09,88.0,14446652.0,1277661903.0,-0.2149,
20250429,88.02,88.0,88.52,87.8,13110870.0,1155155053.0,-0.2607,
20250430,88.23,89.05,89.41,88.01,20183053.0,1792726044.0,1.1932,
20250506,89.4,89.9,90.35,89.25,23858710.0,2143307448.0,0.9545,
20250507,91.46,90.5,91.66,89.73,26342039.0,2387378995.0,0.6674,
20250508,90.09,89.98,90.09,89.31,23245156.0,2087260041.0,-0.5746,
20250509,87.0,85.83,87.82,85.72,58300971.0,5040507616.0,-4.6121,
20250512,85.9,86.32,86.32,84.16,36837284.0,3153271510.0,0.5709,
20250513,87.2,85.52,87.3,85.38,24125902.0,2076435965.0,-0.9268,
