trade_date,open,close,high,low,vol,amount,pct_chg,turnover
2025-04-11,44.25,46.7,48.65,43.9,236035771.0,11021779013.2,5.5367,3.94
2025-04-14,48.1,47.5,48.8,46.3,135992370.0,6462602320.6,1.7131,2.27
2025-04-15,47.0,45.35,47.65,44.05,137196805.0,6231688696.7,-4.5263,2.29
2025-04-16,46.45,45.4,47.2,44.5,135327693.0,6188667546.45,0.1103,2.26
2025-04-17,45.4,46.0,47.45,45.0,102140153.0,4755425031.5,1.3216,1.7
2025-04-22,46.4,46.6,47.0,45.0,89385284.0,4118092690.55,1.3043,1.49
2025-04-23,47.4,46.8,47.7,46.35,82707841.0,3883178525.95,0.4292,1.38
2025-04-24,46.65,46.35,47.3,45.45,50343555.0,2326855139.95,-0.9615,0.84
2025-04-25,46.45,45.05,46.7,44.25,88845881.0,4022391191.4,-2.8047,1.48
2025-04-28,45.1,45.4,46.6,45.0,46038493.0,2110238651.1,0.7769,0.77
2025-04-29,45.85,45.75,46.3,45.45,34407436.0,1577571100.65,0.7709,0.57
2025-04-30,45.9,46.9,47.45,45.75,64802351.0,3033177082.5,2.5137,1.08
2025-05-02,47.45,47.5,47.8,46.1,31454340.0,1488320032.65,1.2793,0.52
2025-05-06,47.7,46.95,48.1,46.55,61846555.0,2929424139.15,-1.1579,1.03
2025-05-07,47.9,46.2,48.3,46.15,65046061.0,3056858182.0,-1.5974,1.08
2025-05-08,46.2,45.15,46.4,44.35,96556366.0,4345506617.55,-2.2727,1.61
2025-05-09,42.5,43.0,43.0,40.4,201150977.0,8509084811.45,-4.7619,3.35
2025-05-12,43.6,44.45,45.0,41.9,122450360.0,5317100102.2,3.3721,2.04
2025-05-13,44.65,42.65,44.8,42.55,84111916.0,3624961999.05,-4.0495,1.4
2025-05-14,43.0,42.7,43.4,41.95,76687368.0,3265360503.3,0.1172,1.28
2025-05-15,42.95,41.25,42.95,41.0,83261607.0,3480622630.4,-3.3958,1.39
2025-05-16,41.0,41.7,42.15,41.0,44106600.0,1842191323.85,1.0909,0.74
2025-05-19,41.8,42.45,43.0,41.1,65754250.0,2780261103.95,1.7986,1.1
