trade_date,open,close,high,low,vol,amount,pct_chg,turnover
20250311,113.675,115.469,115.932,113.635,95370.0,10968694.0,1.5782,
20250312,116.825,115.675,118.635,115.675,129511.0,15108969.0,0.1784,
20250313,115.965,116.842,117.795,115.719,102211.0,11936746.0,1.0089,
20250314,117.675,123.989,124.402,117.215,224697.0,27383524.0,6.1168,
20250317,126.115,125.425,126.342,123.995,133069.0,16667425.0,1.1582,
20250318,128.192,126.865,128.675,125.345,173339.0,22007408.0,1.1481,
20250319,126.852,131.032,131.675,126.189,188352.0,24416446.0,3.2846,
20250320,132.009,132.005,133.142,130.672,159413.0,21032898.0,0.7426,
20250321,129.679,122.675,129.779,122.009,282107.0,35212878.0,-7.0679,
20250324,124.342,123.795,124.842,121.295,147894.0,18236908.0,0.913,
20250325,124.669,121.872,125.209,121.669,123085.0,15129198.0,-1.5534,
20250326,121.872,124.012,125.009,121.342,120205.0,14839828.0,1.7559,
20250327,124.042,127.509,129.102,124.039,144394.0,18321192.0,2.8199,
20250328,127.509,126.175,128.942,125.842,114940.0,14595809.0,-1.0462,
20250331,125.342,123.642,126.435,123.342,115784.0,14411982.0,-2.0075,
20250401,124.599,120.509,124.632,120.129,154072.0,18759293.0,-2.5339,
20250402,120.342,118.842,120.565,118.302,117100.0,13962575.0,-1.3833,
20250403,117.175,117.845,119.185,116.762,101023.0,11913710.0,-0.8389,
20250407,109.789,105.929,111.242,105.929,273498.0,29455735.0,-10.1116,
20250408,105.929,107.845,110.635,104.675,274644.0,29584194.0,1.8088,
20250409,105.275,106.875,108.009,103.229,211939.0,22473517.0,-0.8994,
20250410,110.175,110.809,114.362,110.009,210896.0,23562707.0,3.6809,
20250411,111.009,117.002,117.859,110.809,189945.0,21886096.0,5.5889,
20250414,119.742,118.342,119.909,117.209,142069.0,16833282.0,1.1453,
20250415,120.209,118.665,120.342,117.785,116516.0,13857326.0,0.2729,
20250416,117.549,116.059,117.675,114.709,131828.0,15311515.0,-2.1961,
20250417,115.322,115.235,116.492,114.232,85289.0,9835499.0,-0.71,
20250418,114.642,114.009,114.642,113.342,73860.0,8419868.0,-1.0639,
20250421,114.009,114.929,115.299,113.755,74953.0,8594186.0,0.807,
20250422,114.929,116.955,117.652,114.269,112122.0,13038892.0,1.7628,
20250423,124.342,122.672,124.675,121.085,247927.0,30448080.0,4.8882,
20250424,122.835,120.675,123.542,119.792,150892.0,18308682.0,-1.6279,
20250425,122.009,122.285,123.775,121.375,133869.0,16396052.0,1.3342,
20250428,121.052,118.675,121.052,117.529,179783.0,21409518.0,-2.9521,
20250429,118.375,117.009,118.885,116.342,118983.0,13970032.0,-1.4038,
20250430,116.975,116.372,116.985,115.109,130479.0,15155832.0,-0.5444,
20250506,118.675,118.662,119.442,117.315,148294.0,17568835.0,1.9678,
20250507,120.342,118.409,120.569,118.055,108840.0,12953157.0,-0.2132,
20250508,117.515,118.435,119.335,117.242,83382.0,9867204.0,0.022,
20250509,118.925,119.749,120.675,118.442,143726.0,17192792.0,1.1095,
20250512,120.342,122.102,122.102,118.869,161370.0,19529697.0,1.9649,
20250513,124.009,120.842,124.202,120.685,131771.0,16064159.0,-1.0319,
20250514,120.842,123.042,123.042,119.795,135693.0,16549073.0,1.8206,
20250515,123.009,124.275,127.009,121.769,208801.0,25964613.0,1.0021,
20250516,123.685,128.399,129.005,123.202,229328.0,29094538.0,3.3184,
20250519,128.009,126.279,128.009,124.342,161373.0,20366886.0,-1.6511,
20250520,126.509,130.275,130.275,125.842,172100.0,22166021.0,3.1644,
20250521,129.989,132.009,133.342,129.012,199479.0,26222379.0,1.331,
20250522,132.002,131.609,133.862,131.342,146363.0,19359580.0,-0.303,
20250523,131.675,133.675,137.669,131.385,235574.0,31624160.0,1.5698,
20250526,132.612,125.675,133.009,125.342,309551.0,39625211.0,-5.9847,
20250527,123.969,122.812,125.675,121.635,230275.0,28409948.0,-2.2781,
20250528,122.812,119.635,122.992,119.365,177754.0,21448509.0,-2.5869,
20250529,118.539,119.052,120.675,117.035,192061.0,22840022.0,-0.4873,
20250530,117.682,116.109,118.275,115.775,190560.0,22242100.0,-2.472,
20250603,115.759,117.342,118.005,115.009,181893.0,21242435.0,1.0619,
20250604,118.509,118.849,120.115,118.059,146904.0,17482702.0,1.2843,
20250605,119.472,118.925,119.589,117.352,108613.0,12883891.0,0.0639,
20250606,119.009,118.662,119.469,117.842,89698.0,10643355.0,-0.2211,
20250609,117.382,114.722,117.479,113.712,255091.0,29413098.0,-3.3204,
20250610,115.209,116.385,117.009,114.752,171786.0,19935536.0,1.4496,
20250611,116.679,119.339,120.669,116.679,203107.0,24148542.0,2.5381,
20250612,118.639,116.422,118.639,116.345,144047.0,16872993.0,-2.4443,
20250613,115.175,114.009,115.312,112.505,210240.0,23955166.0,-2.0726,
20250616,114.005,113.485,114.355,112.275,102284.0,11596108.0,-0.4596,
20250617,113.342,113.255,114.142,112.809,70045.0,7943243.0,-0.2027,
20250618,112.949,114.325,115.075,112.665,102897.0,11732487.0,0.9448,
20250619,113.352,112.175,113.772,112.125,100381.0,11312002.0,-1.8806,
20250620,112.019,112.092,112.999,111.942,73538.0,8261578.0,-0.074,
20250623,110.959,111.409,111.912,109.875,94593.0,10506003.0,-0.6093,
20250624,112.419,113.135,114.075,112.419,144713.0,16382910.0,1.5492,
20250625,114.005,115.099,115.252,113.015,125738.0,14391385.0,1.736,
20250626,113.445,111.155,113.445,110.952,204932.0,22921781.0,-3.4266,
20250627,110.009,110.089,110.915,109.822,138617.0,15286036.0,-0.959,
20250630,110.089,109.312,110.089,108.205,144003.0,15725416.0,-0.7058,
20250701,108.775,109.122,109.792,108.272,88518.0,9653950.0,-0.1738,
20250702,109.342,108.895,109.962,108.319,93270.0,10171902.0,-0.208,
20250703,109.002,110.195,110.425,108.899,123498.0,13564979.0,1.1938,
20250704,109.525,109.009,110.339,108.599,104104.0,11380198.0,-1.0763,
20250707,108.409,108.205,108.839,108.155,88208.0,9561718.0,-0.7376,
20250708,107.675,107.635,108.602,107.249,116918.0,12607112.0,-0.5268,
20250709,107.642,107.275,108.079,107.269,121633.0,13080534.0,-0.3345,
20250710,107.279,105.752,107.372,104.959,210022.0,22268143.0,-1.4197,
20250711,105.309,106.645,107.625,105.015,168270.0,17908696.0,0.8444,
20250714,106.645,104.839,106.645,104.529,172309.0,18150628.0,-1.6935,
20250715,104.742,106.359,107.009,104.675,162791.0,17258179.0,1.4498,
20250716,106.362,106.582,107.312,106.362,110758.0,11823638.0,0.2097,
20250717,107.009,108.015,108.249,106.709,156891.0,16890519.0,1.3445,
20250718,108.385,108.379,108.509,107.092,136866.0,14780616.0,0.337,
20250721,108.005,110.049,110.049,107.762,153945.0,16824136.0,1.5409,
20250722,110.342,112.572,112.679,109.745,214164.0,23914694.0,2.2926,
20250723,112.705,111.365,113.009,111.009,158907.0,17764902.0,-1.0722,
20250724,111.369,112.915,114.189,111.219,189063.0,21321454.0,1.3918,
20250725,112.342,111.319,112.475,110.342,157041.0,17491017.0,-1.4135,
20250728,111.319,111.009,111.709,110.519,117057.0,13002575.0,-0.2785,
20250729,112.01,111.42,112.5,109.77,387360.0,43086053.0,0.3702,
20250730,108.05,108.7,111.16,107.12,524834.0,57203407.0,-2.4412,
20250731,108.2,105.24,108.2,105.0,599499.0,63634821.0,-3.1831,
20250801,104.95,105.8,106.24,104.36,362337.0,38214476.0,0.5321,
20250804,104.0,104.88,105.14,102.57,412937.0,43026659.0,-0.8696,
20250805,104.88,104.86,105.21,103.78,338350.0,35397049.0,-0.0191,
20250806,104.86,104.35,105.0,103.9,305620.0,31911822.0,-0.4864,
20250807,104.27,105.33,106.43,104.16,428763.0,45151602.0,0.9391,
20250808,105.0,103.93,105.03,103.91,326615.0,34062678.0,-1.3292,
20250811,103.88,105.52,105.66,103.23,356698.0,37383139.0,1.5299,
20250812,105.4,105.67,106.43,104.7,312195.0,32967792.0,0.1422,
20250813,106.29,106.83,107.65,105.84,459830.0,49097582.0,1.0978,
20250814,107.37,106.37,107.5,105.79,419548.0,44704238.0,-0.4306,
20250815,105.85,106.07,106.64,105.32,361353.0,38307032.0,-0.282,
20250818,105.66,108.37,109.49,105.66,619252.0,66780136.0,2.1684,
20250819,108.67,107.63,108.92,107.18,389735.0,42056304.0,-0.6828,
20250820,107.18,108.25,108.26,106.01,385053.0,41395765.0,0.576,
20250821,107.8,107.1,108.83,107.0,449464.0,48381803.0,-1.0624,
20250822,107.11,110.66,110.97,107.11,763120.0,83622690.0,3.324,
20250825,111.31,111.61,112.49,110.31,611628.0,68178173.0,0.8585,
20250826,111.75,113.75,114.69,110.71,692916.0,78334154.0,1.9174,
20250827,113.96,110.68,114.06,110.66,689747.0,77113715.0,-2.6989,
20250828,109.39,109.32,110.19,107.11,762522.0,83018312.0,-1.2288,
20250829,108.88,114.06,116.59,108.12,1144902.0,129286150.0,4.3359,
20250901,108.5,109.7,111.48,108.5,1329867.0,146143518.0,-3.8225,
20250902,108.79,110.02,111.1,108.6,773224.0,84982472.0,0.2917,
20250903,110.5,107.21,110.73,107.01,735223.0,79636905.0,-2.5541,
20250904,106.59,104.0,107.09,103.71,815741.0,85598422.0,-2.9941,
20250905,103.86,107.26,107.5,103.11,787524.0,83443418.0,3.1346,
20250908,106.15,106.25,107.13,105.51,555923.0,59092762.0,-0.9416,
20250909,106.0,105.49,107.2,105.27,381636.0,40448328.0,-0.7153,
20250910,105.52,105.2,106.45,105.02,322369.0,34028197.0,-0.2749,
20250911,105.25,106.59,106.6,104.89,537781.0,57019127.0,1.3213,
20250912,106.6,105.91,107.58,105.9,455910.0,48537698.0,-0.638,
20250915,106.0,108.7,110.85,106.0,974804.0,105782481.0,2.6343,
20250916,109.0,107.8,109.0,107.22,533160.0,57584834.0,-0.828,
20250917,108.2,110.99,112.0,108.2,981240.0,108325625.0,2.9592,
20250918,110.99,109.71,112.8,108.56,934014.0,103074672.0,-1.1533,
20250919,109.8,109.09,110.8,109.0,472977.0,51852469.0,-0.5651,
20250922,108.87,107.99,108.91,107.15,491559.0,53096565.0,-1.0083,
20250923,107.45,105.6,107.69,104.64,650963.0,68986889.0,-2.2132,
20250924,105.0,105.71,105.83,104.0,548162.0,57655679.0,0.1042,
20250925,105.34,107.5,108.8,104.87,693482.0,74241871.0,1.6933,
20250926,107.45,107.29,111.23,107.0,756612.0,82097446.0,-0.1953,
20250929,107.0,108.61,109.14,106.39,613984.0,66338925.0,1.2303,
20250930,108.19,109.21,109.98,107.76,567756.0,61875941.0,0.5524,
20251009,108.67,110.6,112.48,108.07,1008722.0,111346097.0,1.2728,
20251010,110.55,107.79,110.55,107.58,590103.0,64108790.0,-2.5407,
20251013,105.0,105.69,105.98,104.1,744430.0,78356220.0,-1.9482,
20251014,106.68,105.99,109.36,105.62,767786.0,82145424.0,0.2838,
20251015,106.45,107.1,107.51,105.5,475791.0,50768486.0,1.0473,
20251016,107.0,106.96,109.3,106.51,523096.0,56279899.0,-0.1307,
20251017,106.6,104.43,106.63,104.26,625725.0,65767869.0,-2.3654,
20251020,105.22,104.52,105.63,104.08,355615.0,37248300.0,0.0862,
20251021,104.69,104.76,105.07,104.24,299074.0,31310057.0,0.2296,
20251022,104.1,103.78,104.32,103.37,357874.0,37155672.0,-0.9355,
20251023,103.3,103.69,103.73,102.0,378603.0,39049113.0,-0.0867,
20251024,103.98,103.76,104.37,103.61,305543.0,31749992.0,0.0675,
20251027,104.0,104.01,104.97,103.88,345988.0,36081935.0,0.2409,
20251028,104.02,103.72,104.32,103.5,265416.0,27562567.0,-0.2788,
20251029,103.73,104.52,105.18,103.0,397340.0,41416073.0,0.7713,
20251030,104.0,103.61,104.86,103.5,358989.0,37331266.0,-0.8706,
20251031,101.0,100.79,101.32,100.0,637053.0,64153361.0,-2.7217,
20251103,100.79,99.6,100.99,98.5,551670.0,54999660.0,-1.1807,
20251104,99.0,97.8,99.54,97.71,435017.0,42783922.0,-1.8072,
20251105,96.66,95.8,96.66,94.73,587215.0,56214092.0,-2.045,
20251106,95.58,97.52,97.75,95.4,402004.0,38950168.0,1.7954,
20251107,97.0,97.2,98.15,96.83,322561.0,31415291.0,-0.3281,
20251110,97.35,99.39,100.35,97.35,554877.0,54949469.0,2.2531,
20251111,99.5,98.71,99.78,98.14,319858.0,31626493.0,-0.6842,
20251112,98.8,97.77,98.99,97.54,260643.0,25569078.0,-0.9523,
20251113,97.01,99.83,100.5,97.01,579990.0,57484742.0,2.107,
20251114,99.0,98.37,100.5,98.33,342985.0,33978381.0,-1.4625,
20251117,97.8,98.08,98.59,97.25,207248.0,20304777.0,-0.2948,
20251118,97.54,96.49,97.85,96.02,304756.0,29496317.0,-1.6211,
20251119,96.4,95.17,96.66,95.01,348292.0,33301359.0,-1.368,
20251120,95.17,93.61,95.5,93.5,391811.0,36909902.0,-1.6392,
20251121,92.49,92.7,94.39,91.7,451713.0,41977689.0,-0.9721,
20251124,93.1,93.93,94.41,92.2,327302.0,30607101.0,1.3269,
20251125,94.0,93.91,95.38,93.7,277489.0,26175537.0,-0.0213,
20251126,94.75,95.09,95.44,94.45,306577.0,29122771.0,1.2565,
20251127,94.6,94.29,95.16,94.22,202280.0,19126923.0,-0.8413,
20251128,94.6,95.17,95.23,94.2,219351.0,20809098.0,0.9333,
20251201,95.39,95.77,96.3,95.14,233713.0,22374904.0,0.6305,
20251202,96.42,96.62,97.8,96.25,359217.0,34804535.0,0.8875,
20251203,96.64,95.05,96.65,94.89,231573.0,22122169.0,-1.6249,
20251204,94.92,95.24,95.29,94.2,166142.0,15768537.0,0.1999,
20251205,95.29,95.98,96.22,94.71,211618.0,20238440.0,0.777,
20251208,96.21,96.53,97.15,96.21,247805.0,23945397.0,0.573,
20251209,96.21,96.03,96.66,95.7,163227.0,15691012.0,-0.518,
20251210,95.6,96.47,96.65,94.9,198402.0,19047915.0,0.4582,
20251211,96.98,96.23,97.12,95.85,250908.0,24187531.0,-0.2488,
20251212,96.2,97.0,97.7,95.65,554621.0,53678069.0,0.8002,
20251215,96.55,95.53,97.16,95.53,293301.0,28178405.0,-1.5155,
20251216,95.5,94.25,95.7,94.14,258768.0,24504467.0,-1.3399,
20251217,94.5,95.21,95.7,93.68,272825.0,25881089.0,1.0186,
20251218,94.39,93.53,94.6,93.5,252797.0,23731740.0,-1.7645,
20251219,94.0,94.23,95.27,93.73,272068.0,25685940.0,0.7484,
20251222,94.7,94.37,95.36,94.25,206235.0,19522205.0,0.1486,
20251223,94.5,94.81,95.5,94.5,236617.0,22463629.0,0.4662,
20251224,94.8,94.42,94.8,94.05,192810.0,18205763.0,-0.4113,
20251225,94.43,94.84,95.23,94.12,182202.0,17259995.0,0.4448,
20251226,95.28,100.01,101.45,95.25,1020959.0,100976248.0,5.4513,
20251229,100.5,100.21,101.3,99.6,519167.0,52108792.0,0.2,
20251230,99.26,99.75,100.15,98.74,318756.0,31731097.0,-0.459,
20251231,99.98,97.72,100.2,97.38,402859.0,39654754.0,-2.0351,
20260105,98.4,98.11,99.48,97.9,382625.0,37687287.0,0.3991,
20260106,98.22,99.99,100.5,98.12,521785.0,51936740.0,1.9162,
20260107,99.96,97.6,99.96,97.06,560849.0,55079111.0,-2.3902,
20260108,97.2,96.88,97.2,96.33,300655.0,29104406.0,-0.7377,
