trade_date,open,close,high,low,vol,amount,pct_chg,turnover
2025-04-11,113.21,121.08,121.81,113.21,18527049.0,6681254650.19,6.9517,1.51
2025-04-14,126.14,123.48,126.14,122.01,12242142.0,4601615059.76,1.9822,1.0
2025-04-15,129.14,123.28,129.14,121.21,9923560.0,3734025486.2,-0.162,0.81
2025-04-16,123.28,119.41,123.28,117.54,9251373.0,3366638123.07,-3.1392,0.75
2025-04-17,118.14,120.14,120.88,117.61,4811579.0,1750984649.64,0.6113,0.39
2025-04-22,120.14,123.41,123.41,119.14,10233773.0,3787136457.41,2.7218,0.83
2025-04-23,131.14,128.28,131.14,126.74,15034578.0,5890713911.53,3.9462,1.22
2025-04-24,130.21,128.28,130.21,125.28,10366594.0,4034619301.1,0.0,0.84
2025-04-25,129.54,130.48,131.81,128.14,13893366.0,5505241405.5,1.715,1.13
2025-04-28,130.48,125.21,130.48,122.81,14100650.0,5364604969.05,-4.0389,1.15
2025-04-29,125.21,121.94,125.48,121.01,12436448.0,4647101738.65,-2.6116,1.01
2025-04-30,122.08,121.54,122.88,119.61,10359745.0,3833007620.69,-0.328,0.84
2025-05-02,123.74,125.61,125.68,120.34,8270982.0,3120157691.8,3.3487,0.67
2025-05-06,126.94,126.41,127.01,124.48,10247631.0,3934741859.27,0.6369,0.83
2025-05-07,129.81,126.28,129.81,125.54,8511984.0,3294852593.23,-0.1028,0.69
2025-05-08,125.48,126.74,127.48,124.61,7522059.0,2892501979.59,0.3643,0.61
2025-05-09,127.48,127.14,128.74,125.94,7411077.0,2869262325.39,0.3156,0.6
2025-05-12,128.81,136.68,137.41,127.28,15816994.0,6385539265.32,7.5035,1.29
2025-05-13,137.48,130.08,137.48,129.61,11748482.0,4736206155.63,-4.8288,0.96
2025-05-14,131.81,136.34,136.74,130.61,9020541.0,3682064835.1,4.8124,0.73
2025-05-15,136.28,138.28,141.88,134.28,13755643.0,5796243430.95,1.4229,1.12
2025-05-16,137.01,142.88,143.68,137.01,14147549.0,6081759784.0,3.3266,1.15
2025-05-19,142.88,142.74,143.41,139.41,9921859.0,4275546623.57,-0.098,0.81
2025-05-20,141.14,146.34,147.68,141.14,10468482.0,4613603193.3,2.5221,0.85
2025-05-21,148.08,152.34,153.08,146.94,14207318.0,6523117648.32,4.1,1.16
2025-05-22,152.34,150.21,155.34,149.21,10037117.0,4631371927.4,-1.3982,0.82
2025-05-23,150.74,153.21,157.41,150.61,9946400.0,4648940843.99,1.9972,0.81
2025-05-26,151.41,139.88,152.48,138.74,25557250.0,11048227587.75,-8.7005,2.08
2025-05-27,137.54,137.54,139.08,133.81,18104498.0,7512456122.5,-1.6729,1.47
2025-05-28,137.54,133.81,137.74,132.94,12050166.0,4937515264.95,-2.7119,0.98
2025-05-29,132.14,133.48,134.68,130.81,13678206.0,5539337815.18,-0.2466,1.11
2025-05-30,130.21,129.08,130.94,126.88,24689207.0,9661585402.41,-3.2964,2.01
2025-06-02,125.21,126.61,126.94,122.61,13964996.0,5332413147.47,-1.9135,1.14
2025-06-03,127.14,131.68,131.81,126.01,17432500.0,6868394470.1,4.0044,1.42
2025-06-04,134.14,133.54,135.48,132.54,13927041.0,5663529202.95,1.4125,1.13
2025-06-05,135.34,135.48,135.74,130.88,11985209.0,4875187279.6,1.4527,0.98
2025-06-06,135.48,132.48,135.61,131.74,29216174.0,11828493489.58,-2.2143,2.38
2025-06-09,133.74,130.34,133.74,127.48,20175445.0,8007094756.99,-1.6153,1.64
2025-06-10,131.99,135.19,135.79,129.69,39625855.0,5280808119.6,3.721,1.08
2025-06-11,136.49,140.39,143.19,135.89,50503441.0,7076243240.56,3.8464,1.37
2025-06-12,139.19,133.99,139.49,133.79,34098524.0,4653855780.9,-4.5587,0.93
2025-06-13,132.09,130.69,132.49,126.79,50962667.0,6618508937.1,-2.4629,1.38
2025-06-16,129.59,129.39,130.59,126.39,23950200.0,3085999849.7,-0.9947,0.65
2025-06-17,128.19,128.59,129.89,127.39,17529977.0,2255833373.3,-0.6183,0.48
2025-06-18,127.99,127.09,129.59,126.69,15640113.0,2004604700.64,-1.1665,0.42
2025-06-19,126.09,124.09,126.79,123.39,20648329.0,2580690004.9,-2.3605,0.56
2025-06-20,123.59,125.39,125.69,121.29,21435409.0,2680363649.7,1.0476,0.58
2025-06-23,123.99,125.69,126.09,121.99,14350690.0,1794749284.87,0.2393,0.39
2025-06-24,126.99,129.79,130.89,126.89,24577128.0,3195159206.04,3.262,0.67
2025-06-25,132.59,129.49,133.19,128.59,25293815.0,3328470509.5,-0.2311,0.69
2025-06-26,128.59,125.29,128.79,124.89,33811201.0,4281592824.45,-3.2435,0.92
2025-06-27,122.59,123.79,124.29,122.19,40657873.0,5026166597.3,-1.1972,1.1
2025-06-30,123.39,122.09,124.99,121.79,23186063.0,2865165636.1,-1.3733,0.63
2025-07-02,124.59,121.89,125.39,120.69,27281940.0,3355704585.2,-0.1638,0.74
2025-07-03,122.59,122.59,123.19,121.79,17122687.0,2104677005.78,0.5743,0.46
2025-07-04,121.89,121.09,122.89,120.39,20263203.0,2466347469.3,-1.2236,0.55
2025-07-07,119.79,121.09,122.79,119.79,17193365.0,2086016367.7,0.0,0.47
2025-07-08,121.09,122.29,123.59,120.39,13838177.0,1692767997.58,0.991,0.38
2025-07-09,121.39,120.89,122.09,119.99,15436702.0,1871391657.2,-1.1448,0.42
2025-07-10,120.89,119.09,120.89,116.39,35910836.0,4256828038.4,-1.489,0.97
2025-07-11,118.39,119.69,121.59,117.69,19783006.0,2383859428.0,0.5038,0.54
2025-07-14,119.69,119.99,120.59,118.69,14230919.0,1708380073.1,0.2506,0.39
2025-07-15,120.29,122.99,123.19,119.69,26090205.0,3186559548.49,2.5002,0.71
2025-07-16,123.59,122.09,124.59,121.89,19614661.0,2428263566.1,-0.7318,0.53
2025-07-17,122.59,123.39,124.39,122.19,19477455.0,2414238307.29,1.0648,0.53
2025-07-18,124.99,125.99,125.99,123.59,21635637.0,2715785281.02,2.1071,0.59
2025-07-21,126.59,127.29,127.79,125.49,17920034.0,2276067079.44,1.0318,0.49
