trade_date,open,close,high,low,vol,amount,pct_chg,turnover
20250311,26.097,26.247,26.347,26.087,910403.0,23877139.0,0.5748,
20250312,26.217,26.177,26.247,26.067,785238.0,20544705.0,-0.2667,
20250313,26.157,26.307,26.407,26.147,874097.0,22977388.0,0.4966,
20250314,26.347,26.507,26.607,26.287,1114140.0,29487943.0,0.7603,
20250317,26.567,26.427,26.747,26.407,763522.0,20253948.0,-0.3018,
20250318,26.427,26.257,26.477,26.227,777193.0,20455979.0,-0.6433,
20250319,26.297,26.687,26.757,26.217,1318599.0,35013638.0,1.6377,
20250320,26.757,26.697,26.817,26.597,601942.0,16074059.0,0.0375,
20250321,26.727,26.457,26.817,26.427,741877.0,19709446.0,-0.899,
20250324,26.477,26.757,26.857,26.427,991625.0,26456886.0,1.1339,
20250325,26.767,26.987,27.057,26.617,772560.0,20771821.0,0.8596,
20250326,26.987,26.887,27.047,26.667,690883.0,18561954.0,-0.3705,
20250327,26.807,26.827,26.917,26.677,572991.0,15360170.0,-0.2232,
20250328,26.817,26.907,26.957,26.697,572223.0,15366286.0,0.2982,
20250331,26.977,26.867,27.167,26.807,904841.0,24382750.0,-0.1487,
20250401,26.907,26.957,26.997,26.717,579886.0,15593328.0,0.335,
20250402,26.957,26.887,27.017,26.767,553530.0,14884606.0,-0.2597,
20250403,26.767,27.457,27.497,26.767,1437982.0,39171109.0,2.12,
20250407,27.097,27.387,27.917,26.827,3258722.0,89214032.0,-0.2549,
20250408,27.317,28.107,28.237,27.057,2341190.0,65085862.0,2.629,
20250409,28.107,28.627,28.657,27.817,2198018.0,62351177.0,1.8501,
20250410,28.517,28.227,28.547,27.907,1385625.0,39112037.0,-1.3973,
20250411,28.337,28.257,28.337,28.057,873321.0,24642499.0,0.1063,
20250414,28.067,28.207,28.307,27.877,826375.0,23246204.0,-0.1769,
20250415,28.137,28.327,28.407,28.047,783080.0,22130102.0,0.4254,
20250416,28.307,28.457,28.467,28.107,1007602.0,28559135.0,0.4589,
20250417,28.357,28.267,28.377,28.057,840853.0,23740363.0,-0.6677,
20250418,28.157,28.637,28.657,28.117,881174.0,25087318.0,1.3089,
20250421,28.557,28.367,28.757,28.357,565837.0,16122771.0,-0.9428,
20250422,28.377,28.387,28.877,28.287,768949.0,21928119.0,0.0705,
20250423,28.337,28.257,28.437,28.137,616107.0,17421658.0,-0.458,
20250424,28.257,28.517,28.607,28.217,569273.0,16194109.0,0.9201,
20250425,28.537,28.577,28.787,28.357,544572.0,15560419.0,0.2104,
20250428,28.577,28.777,28.977,28.467,723471.0,20792798.0,0.6999,
20250429,28.777,28.517,28.827,28.407,723059.0,20667677.0,-0.9035,
20250430,28.607,28.557,28.627,28.377,553509.0,15786261.0,0.1403,
20250506,28.707,28.237,28.707,28.187,830990.0,23581003.0,-1.1206,
20250507,28.337,28.407,28.437,28.117,808890.0,22908034.0,0.602,
20250508,28.337,28.367,28.537,28.277,469961.0,13343916.0,-0.1408,
20250509,28.357,28.607,28.827,28.337,732928.0,20954656.0,0.8461,
20250512,28.517,28.597,28.747,28.367,572355.0,16352373.0,-0.035,
20250513,28.477,28.797,28.797,28.417,616986.0,17689194.0,0.6994,
20250514,28.787,29.137,29.157,28.727,747906.0,21694509.0,1.1807,
20250515,29.117,29.407,29.417,29.057,715433.0,20957656.0,0.9267,
20250516,29.357,29.157,29.557,29.017,637560.0,18644592.0,-0.8501,
20250519,29.157,29.527,29.637,29.157,561942.0,16543760.0,1.269,
20250520,29.537,29.737,29.997,29.537,605876.0,18029052.0,0.7112,
20250521,29.797,29.857,30.007,29.757,535498.0,15997289.0,0.4035,
20250522,29.857,30.087,30.107,29.617,537264.0,16084072.0,0.7703,
20250523,30.047,29.547,30.117,29.447,854248.0,25374298.0,-1.7948,
20250526,29.457,29.397,29.617,29.177,626512.0,18417573.0,-0.5077,
20250527,29.357,29.317,29.647,29.277,567981.0,16706404.0,-0.2721,
20250528,29.327,29.587,29.607,29.257,537809.0,15856581.0,0.921,
20250529,29.537,29.347,29.607,29.167,669369.0,19661822.0,-0.8112,
20250530,29.377,29.257,29.547,29.257,644790.0,18926951.0,-0.3067,
20250603,29.337,29.207,29.407,28.907,783223.0,22849487.0,-0.1709,
20250604,29.197,28.947,29.217,28.907,595582.0,17285973.0,-0.8902,
20250605,28.947,28.857,28.997,28.707,551350.0,15908469.0,-0.3109,
20250606,28.857,29.047,29.077,28.807,546937.0,15848593.0,0.6584,
20250609,28.987,29.037,29.147,28.907,680594.0,19757871.0,-0.0344,
20250610,29.037,29.087,29.347,29.017,663488.0,19340896.0,0.1722,
20250611,29.057,29.237,29.337,29.037,576656.0,16840470.0,0.5157,
20250612,29.217,29.247,29.387,29.077,631839.0,18473077.0,0.0342,
20250613,29.247,29.677,29.717,29.237,1044234.0,30850501.0,1.4702,
20250616,29.607,29.517,29.677,29.357,516554.0,15247124.0,-0.5391,
20250617,29.507,29.727,29.757,29.117,788986.0,23301650.0,0.7115,
20250618,29.657,29.767,29.917,29.627,621721.0,18508841.0,0.1346,
20250619,29.857,29.777,29.897,29.637,559306.0,16650726.0,0.0336,
20250620,29.777,29.457,29.887,29.437,561603.0,16619892.0,-1.0747,
20250623,29.437,29.707,29.817,29.337,588009.0,17417023.0,0.8487,
20250624,29.667,29.637,29.867,29.587,788400.0,23413115.0,-0.2356,
20250625,29.537,29.937,30.007,29.457,783707.0,23354730.0,1.0122,
20250626,29.937,30.167,30.247,29.917,705649.0,21247327.0,0.7683,
20250627,30.217,29.277,30.217,29.257,1474530.0,43622004.0,-2.9502,
20250630,29.287,29.197,29.477,29.157,755185.0,22109551.0,-0.2733,
20250701,29.257,29.427,29.577,29.207,594763.0,17488213.0,0.7878,
20250702,29.457,29.307,29.537,29.277,571835.0,16796891.0,-0.4078,
20250703,29.317,29.147,29.337,28.907,936811.0,27289617.0,-0.5459,
20250704,29.117,29.217,29.347,29.067,679228.0,19840476.0,0.2402,
20250707,29.297,29.317,29.337,29.127,508278.0,14872384.0,0.3423,
20250708,29.327,28.977,29.327,28.967,1073286.0,31222248.0,-1.1597,
20250709,29.007,29.037,29.157,28.907,670383.0,19463677.0,0.2071,
20250710,29.057,28.957,29.137,28.857,947643.0,27466169.0,-0.2755,
20250711,28.977,29.457,29.647,28.927,1642155.0,48186849.0,1.7267,
20250714,29.477,29.667,29.847,29.457,771547.0,22881769.0,0.7129,
20250715,29.667,29.537,29.737,29.407,562462.0,16626564.0,-0.4382,
20250716,29.657,29.397,29.717,29.387,386213.0,11393412.0,-0.474,
20250717,29.377,29.217,29.457,29.177,614655.0,17999352.0,-0.6123,
20250718,29.33,29.29,29.39,29.14,601702.0,17613823.0,0.2499,
20250721,29.49,29.3,29.65,29.21,778277.0,22870967.0,0.0341,
20250722,29.25,29.15,29.3,29.07,943940.0,27537876.0,-0.5119,
20250723,29.2,28.97,29.24,28.96,1073549.0,31193755.0,-0.6175,
20250724,28.98,28.73,28.98,28.59,1668828.0,48006619.0,-0.8284,
20250725,28.65,28.54,28.77,28.54,1008791.0,28868236.0,-0.6613,
20250728,28.54,28.43,28.63,28.39,844451.0,24052779.0,-0.3854,
20250729,28.4,28.42,28.53,28.39,717720.0,20416742.0,-0.0352,
20250730,28.43,28.49,28.73,28.43,978280.0,27929894.0,0.2463,
20250731,28.21,27.63,28.21,27.49,2579698.0,71655411.0,-3.0186,
20250801,27.58,27.78,27.84,27.47,981486.0,27183891.0,0.5429,
20250804,27.69,27.93,27.96,27.59,823204.0,22907023.0,0.54,
20250805,27.93,27.89,27.97,27.75,787153.0,21937954.0,-0.1432,
20250806,27.88,27.76,27.91,27.66,1144935.0,31802478.0,-0.4661,
20250807,27.73,27.85,27.97,27.63,1051957.0,29261937.0,0.3242,
20250808,27.85,27.65,27.87,27.65,824972.0,22870974.0,-0.7181,
20250811,27.65,27.48,27.67,27.3,1243551.0,34176927.0,-0.6148,
20250812,27.48,27.55,27.67,27.43,743184.0,20474719.0,0.2547,
20250813,27.56,27.42,27.64,27.4,934257.0,25679611.0,-0.4719,
20250814,27.41,27.45,27.68,27.39,1017588.0,27990454.0,0.1094,
20250815,27.5,27.42,27.57,27.39,1072302.0,29445413.0,-0.1093,
20250818,27.43,27.43,27.51,27.34,1147362.0,31468315.0,0.0365,
20250819,27.44,27.42,27.57,27.4,1146024.0,31473639.0,-0.0365,
20250820,27.39,27.48,27.53,27.25,1022259.0,28030342.0,0.2188,
20250821,27.48,27.64,27.74,27.45,1179348.0,32561798.0,0.5822,
