ex_date,cash_div,record_date,end_date
20040601,0.072,20040531,20031231
20050524,0.168,20050523,20041231
20050812,0.1566,20050811,20050811
20060607,0.1701,20060606,20051231
20070611,0.21179,20070608,20061231
20080722,0.26714,20080721,20071231
20090807,0.19427,20090806,20081231
20100720,0.33324,20100719,20091231
20110623,0.23021,20110622,20101231
20120702,0.22916,20120629,20111231
20130701,0.31499,20130628,20121231
20140711,0.2664,20140710,20131231
20150630,0.36015,20150629,20141231
20160719,0.4,20160718,20151231
20170714,0.725,20170713,20161231
20180622,0.68,20180621,20171231
20190718,0.68,20190717,20181231
20200717,0.68,20200716,20191231
20210716,0.7,20210715,20201231
20220721,0.8153,20220720,20211231
20230721,0.8533,20230720,20221231
20240719,0.82,20240718,20231231
20250124,0.21,20250123,20240630
20250718,0.733,20250717,20241231
20260212,0.21,20260211,20250930
