trade_date,open,close,high,low,vol,amount,pct_chg,turnover
20250701,124.91,122.93,125.46,122.42,142876.0,17659950.0,-1.5851,
20250702,122.19,119.89,122.21,119.01,130681.0,15730072.0,-2.473,
20250703,119.83,118.97,120.8,118.25,128590.0,15345931.0,-0.7674,
20250704,118.44,118.1,119.55,116.76,141827.0,16754969.0,-0.7313,
20250707,118.23,120.06,120.06,117.11,114585.0,13644400.0,1.6596,
20250708,122.25,120.96,122.75,120.26,151878.0,18426345.0,0.7496,
20250709,120.16,118.72,120.24,118.54,126056.0,15021673.0,-1.8519,
20250710,118.27,117.31,119.12,117.29,111583.0,13156380.0,-1.1877,
20250711,117.15,117.61,118.35,116.62,129774.0,15251906.0,0.2557,
20250714,117.86,116.84,118.45,116.71,112792.0,13234261.0,-0.6547,
20250715,116.35,114.25,116.81,113.25,236203.0,27109018.0,-2.2167,
20250716,114.25,113.49,115.65,113.25,158743.0,18117339.0,-0.6652,
20250717,113.3,117.24,117.44,113.07,241275.0,27967794.0,3.3043,
20250718,117.11,116.41,119.55,115.48,203233.0,23808069.0,-0.7079,
20250721,116.07,116.36,116.78,114.65,115944.0,13441388.0,-0.043,
20250722,116.22,115.12,116.58,115.05,143927.0,16635562.0,-1.0657,
20250723,115.02,116.24,117.61,114.75,149111.0,17326698.0,0.9729,
20250724,115.85,117.14,117.25,114.39,172254.0,20026250.0,0.7743,
20250725,117.15,121.19,121.25,117.15,356934.0,42783299.0,3.4574,
20250728,121.25,119.51,121.45,118.96,191012.0,22916346.0,-1.3863,
20250729,119.25,119.53,120.75,118.65,169941.0,20332308.0,0.0167,
20250730,123.31,123.24,128.92,122.56,472987.0,59079230.0,3.1038,
20250731,120.25,120.38,126.05,119.53,308748.0,37663139.0,-2.3207,
20250801,119.75,116.56,121.35,116.34,247813.0,29262585.0,-3.1733,
20250804,115.55,118.09,119.45,115.55,160783.0,18923623.0,1.3126,
20250805,118.25,117.25,118.55,116.55,124851.0,14663750.0,-0.7113,
20250806,117.25,117.53,117.9,116.26,114486.0,13421194.0,0.2388,
20250807,117.23,116.92,118.45,116.57,169941.0,19936345.0,-0.519,
20250808,116.93,115.65,116.93,115.65,121513.0,14104824.0,-1.0862,
20250811,116.04,117.2,117.75,115.73,127982.0,14960243.0,1.3403,
20250812,117.56,119.72,120.75,116.85,252756.0,30104925.0,2.1502,
20250813,119.74,120.71,122.25,119.19,240987.0,29091147.0,0.8269,
20250814,120.95,120.26,124.74,119.8,314003.0,38182765.0,-0.3728,
20250815,119.26,122.15,122.75,119.26,211500.0,25673280.0,1.5716,
20250818,122.58,124.95,127.23,120.76,328499.0,40836806.0,2.2923,
20250819,124.73,122.51,128.13,122.1,323175.0,40153416.0,-1.9528,
20250820,122.25,126.26,126.5,121.26,359898.0,44869683.0,3.061,
20250821,131.34,136.41,138.96,131.34,858971.0,116450698.0,8.039,
20250822,134.37,150.13,150.13,134.33,780791.0,113107987.0,10.0579,
20250825,158.25,157.05,162.75,152.13,836198.0,131542307.0,4.6093,
20250826,157.05,153.65,157.05,151.87,382253.0,58939590.0,-2.1649,
20250827,155.12,157.88,167.75,151.43,623811.0,99198425.0,2.753,
20250828,160.25,163.7,165.05,158.26,494328.0,80247560.0,3.6863,
20250829,161.05,158.23,161.25,155.65,398006.0,63034864.0,-3.3415,
20250901,163.36,174.13,174.13,156.25,612797.0,103054071.0,10.0487,
20250902,178.53,175.25,187.25,172.3,762852.0,135991083.0,0.6432,
20250903,175.51,170.34,176.98,167.8,441276.0,75770031.0,-2.8017,
20250904,168.25,153.23,170.32,153.23,454981.0,72308614.0,-10.0446,
20250905,149.25,158.81,163.24,145.05,699488.0,108910282.0,3.6416,
20250908,161.18,163.08,168.25,158.4,523715.0,85492982.0,2.6887,
20250909,160.25,156.4,162.05,153.87,327320.0,51533261.0,-4.0961,
20250910,156.39,160.54,162.5,154.95,334657.0,53320900.0,2.6471,
20250911,160.51,176.67,176.67,159.25,554424.0,94730733.0,10.0473,
20250912,179.24,189.46,194.41,176.75,710357.0,132746780.0,7.2395,
20250915,192.76,190.19,193.75,185.87,495483.0,94110389.0,0.3853,
20250916,188.25,188.41,196.05,186.14,408562.0,77708492.0,-0.9359,
20250917,188.24,185.85,191.83,182.22,339245.0,63314425.0,-1.3587,
20250918,188.64,190.13,200.1,186.05,590411.0,113414017.0,2.3029,
20250919,193.56,184.45,195.13,184.16,371918.0,69888351.0,-2.9874,
20250922,188.13,194.26,197.34,185.53,411978.0,79254954.0,5.3185,
20250923,195.25,193.32,200.84,187.94,399946.0,77602856.0,-0.4839,
20250924,193.85,199.05,207.48,192.25,507021.0,101198011.0,2.964,
20250925,198.25,196.66,203.75,192.35,404276.0,79879547.0,-1.2007,
20250926,195.26,189.46,205.27,189.46,435201.0,84746691.0,-3.6611,
20250929,195.75,196.38,202.88,194.35,434878.0,86049310.0,3.6525,
20250930,203.59,212.55,216.09,202.25,597865.0,125729017.0,8.234,
20251009,221.25,224.74,233.88,217.85,585390.0,131999591.0,5.7351,
20251010,224.75,214.27,229.75,211.37,443031.0,96786029.0,-4.6587,
20251013,200.75,207.1,214.15,200.75,424815.0,88078310.0,-3.3462,
20251014,214.7,195.25,219.78,192.25,522018.0,105670364.0,-5.7219,
20251015,194.8,201.26,201.65,185.66,390442.0,76600816.0,3.0781,
20251016,200.69,207.38,214.05,197.78,458666.0,94670191.0,3.0408,
20251017,207.37,200.46,210.75,200.25,329358.0,67129748.0,-3.3369,
20251020,206.98,207.6,214.25,202.28,367244.0,76402666.0,3.5618,
20251021,210.25,218.26,221.25,208.91,405117.0,87561988.0,5.1349,
20251022,213.25,210.18,213.25,204.55,371830.0,77833934.0,-3.702,
20251023,205.23,206.21,207.35,199.64,274058.0,56017455.0,-1.8889,
20251024,213.25,220.33,221.13,211.25,450618.0,98040958.0,6.8474,
20251027,229.25,242.44,242.44,222.08,520916.0,122755592.0,10.0349,
20251028,235.75,246.2,253.69,233.83,527296.0,128962540.0,1.5509,
20251029,246.21,240.4,251.88,235.25,503745.0,122163200.0,-2.3558,
20251030,245.49,231.25,246.25,231.03,433654.0,102418956.0,-3.8062,
20251031,230.25,219.25,233.93,215.25,492429.0,109718105.0,-5.1892,
20251103,216.25,229.35,229.93,215.91,462613.0,104117224.0,4.6066,
20251104,230.25,224.24,230.47,221.75,293368.0,66150572.0,-2.228,
20251105,212.25,217.64,219.74,210.2,335131.0,72341378.0,-2.9433,
20251106,223.75,226.45,227.25,221.5,343347.0,77275965.0,4.048,
20251107,221.93,220.2,227.14,218.8,278989.0,61948577.0,-2.76,
20251110,227.74,218.21,230.7,211.75,385832.0,84967923.0,-0.9037,
20251111,222.85,216.24,226.26,215.96,341925.0,75047978.0,-0.9028,
20251112,212.25,208.75,217.83,206.26,349523.0,73730712.0,-3.4637,
20251113,211.25,226.75,229.7,211.13,626639.0,139443888.0,8.6228,
20251114,215.25,205.03,215.74,205.03,548633.0,114444844.0,-9.5788,
20251117,207.06,206.75,213.99,205.61,335061.0,69955152.0,0.8389,
20251118,204.53,201.75,206.83,200.82,274378.0,55735318.0,-2.4184,
20251119,199.5,201.77,204.75,198.28,238819.0,48145910.0,0.0099,
20251120,206.75,198.35,207.25,197.91,217605.0,43775598.0,-1.695,
20251121,188.25,181.76,189.82,181.76,404416.0,74593183.0,-8.364,
20251124,183.0,178.43,184.0,175.25,340499.0,61026501.0,-1.8321,
20251125,184.25,189.87,190.85,183.44,364021.0,68455362.0,6.4115,
20251126,186.26,195.75,198.13,186.05,297685.0,57545487.0,3.0969,
20251127,198.13,200.11,207.25,198.13,319732.0,64531510.0,2.2273,
20251128,198.25,202.25,203.6,195.91,215652.0,43256916.0,1.0694,
20251201,203.29,212.07,214.7,200.45,382670.0,80006092.0,4.8554,
20251202,211.03,209.75,216.04,207.35,249244.0,52602115.0,-1.094,
20251203,209.67,206.85,210.24,205.44,170708.0,35423617.0,-1.3826,
20251204,205.25,209.66,212.23,201.24,247007.0,51305824.0,1.3585,
20251205,210.17,206.06,210.25,204.75,169817.0,35155515.0,-1.7171,
20251208,207.87,213.14,216.22,206.78,311307.0,66011612.0,3.4359,
20251209,211.25,210.2,214.55,208.55,210586.0,44454705.0,-1.3794,
20251210,208.34,208.09,209.45,202.75,191810.0,39659275.0,-1.0038,
20251211,211.13,207.06,212.25,206.75,188246.0,39284430.0,-0.495,
20251212,205.25,209.14,213.69,203.26,215034.0,44876879.0,1.0045,
20251215,204.27,203.41,207.93,202.75,175069.0,35836041.0,-2.7398,
