trade_date,open,close,high,low,vol,amount,pct_chg,turnover
20250701,68.068,67.898,68.138,67.588,186252.0,12641792.0,-0.2498,
20250702,67.898,68.288,68.888,67.598,266155.0,18167208.0,0.5744,
20250703,68.578,68.678,68.738,68.128,179369.0,12289407.0,0.5711,
20250704,68.668,69.268,69.628,68.388,211462.0,14610896.0,0.8591,
20250707,68.988,68.338,69.238,68.118,215453.0,14772463.0,-1.3426,
20250708,68.338,68.008,68.488,67.858,256867.0,17497266.0,-0.4829,
20250709,67.858,67.588,68.138,67.588,272053.0,18437395.0,-0.6176,
20250710,67.628,67.468,67.758,67.118,231514.0,15615156.0,-0.1775,
20250711,67.528,68.268,68.588,67.478,320554.0,21833360.0,1.1857,
20250714,68.258,68.888,68.998,67.768,233739.0,16023120.0,0.9082,
20250715,68.898,68.998,69.288,68.598,249010.0,17172062.0,0.1597,
20250716,69.258,68.678,69.878,68.588,206888.0,14285203.0,-0.4638,
20250717,68.538,68.418,69.218,68.388,247300.0,16983245.0,-0.3786,
20250718,68.658,68.618,69.068,68.308,219512.0,15072718.0,0.2923,
20250721,68.398,68.338,68.748,68.188,308971.0,21141238.0,-0.4081,
20250722,68.368,68.978,69.008,68.048,357204.0,24532056.0,0.9365,
20250723,68.988,69.288,69.638,68.968,369872.0,25631390.0,0.4494,
20250724,69.488,69.298,69.738,68.878,290699.0,20146797.0,0.0144,
20250725,69.188,68.548,69.188,68.338,244562.0,16799290.0,-1.0823,
20250728,68.608,67.728,68.708,67.588,377736.0,25689070.0,-1.1962,
20250729,67.728,67.028,67.858,66.808,398369.0,26782879.0,-1.0335,
20250730,67.278,67.898,68.528,66.988,411325.0,27889755.0,1.298,
20250731,67.788,65.978,67.808,65.668,694777.0,46192017.0,-2.8278,
20250801,65.988,66.578,66.758,65.888,286447.0,19022372.0,0.9094,
20250804,66.338,66.728,66.788,65.988,197766.0,13151703.0,0.2253,
20250805,66.898,67.168,67.298,66.468,191748.0,12842898.0,0.6594,
20250806,67.168,67.488,67.568,66.778,221358.0,14892524.0,0.4764,
